epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.20423182845115662,0.0005000000237487257,3.425656795501709,0.12614679336547852,3.397313356399536
1,0.31462740898132324,0.0005000000237487257,3.0863890647888184,0.12385321408510208,3.2440104484558105
2,0.43146273493766785,0.0005000000237487257,2.7178232669830322,0.13302752375602722,3.1040120124816895
3,0.4848206043243408,0.0005000000237487257,2.447336435317993,0.16743119060993195,2.973379135131836
4,0.5556577444076538,0.0005000000237487257,2.1656694412231445,0.2683486342430115,2.855966567993164
5,0.6329346895217896,0.0005000000237487257,1.9325217008590698,0.39678898453712463,2.7002649307250977
6,0.647654116153717,0.0005000000237487257,1.7671042680740356,0.3142201900482178,2.506798028945923
7,0.6715731620788574,0.0005000000237487257,1.6491721868515015,0.2775229215621948,2.3812756538391113
8,0.6991720199584961,0.0005000000237487257,1.5445101261138916,0.4655963182449341,2.102024793624878
9,0.6872125267982483,0.0005000000237487257,1.4853026866912842,0.5229358077049255,1.9645065069198608
10,0.6899724006652832,0.0005000000237487257,1.418805718421936,0.6605504751205444,1.725643515586853
11,0.708371639251709,0.0005000000237487257,1.3542845249176025,0.6949541568756104,1.5471301078796387
12,0.7295308113098145,0.0005000000237487257,1.263536810874939,0.75,1.3346630334854126
13,0.7129715085029602,0.0005000000237487257,1.2424211502075195,0.7545871734619141,1.2398189306259155
14,0.7175713181495667,0.0005000000237487257,1.2002078294754028,0.7981651425361633,1.1061209440231323
15,0.7221711277961731,0.0005000000237487257,1.1565768718719482,0.8004587292671204,1.0611814260482788
16,0.7295308113098145,0.0005000000237487257,1.137502908706665,0.8256880640983582,0.9754661917686462
17,0.7368904948234558,0.0005000000237487257,1.0788859128952026,0.8165137767791748,0.9737058877944946
18,0.7571297287940979,0.0005000000237487257,1.0444540977478027,0.8050458431243896,0.9200353622436523
19,0.7516099214553833,0.0005000000237487257,1.0205528736114502,0.8211008906364441,0.8965567946434021
