epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.16743330657482147,0.0005000000237487257,3.4675025939941406,0.12385321408510208,3.394702911376953
1,0.2888684570789337,0.0005000000237487257,3.1249330043792725,0.18577980995178223,3.227632522583008
2,0.39926403760910034,0.0005000000237487257,2.7626121044158936,0.22247706353664398,3.086731195449829
3,0.42870286107063293,0.0005000000237487257,2.4928858280181885,0.20183485746383667,2.9308300018310547
4,0.5151793956756592,0.0005000000237487257,2.2528319358825684,0.22477063536643982,2.810701370239258
5,0.5777369141578674,0.0005000000237487257,2.03780198097229,0.24082568287849426,2.6758713722229004
6,0.6136154532432556,0.0005000000237487257,1.8295109272003174,0.3142201900482178,2.586740255355835
7,0.6384544372558594,0.0005000000237487257,1.701936960220337,0.4220183491706848,2.556401252746582
8,0.6577736735343933,0.0005000000237487257,1.5862008333206177,0.4587155878543854,2.6009681224823
9,0.6798527836799622,0.0005000000237487257,1.4579459428787231,0.5068807601928711,2.594719886779785
10,0.6954922080039978,0.0005000000237487257,1.3589389324188232,0.5183486342430115,2.4887356758117676
11,0.7230910658836365,0.0005000000237487257,1.3056410551071167,0.5573394298553467,2.032313346862793
12,0.71849125623703,0.0005000000237487257,1.243407964706421,0.5137614607810974,2.2485158443450928
13,0.7304508090019226,0.0005000000237487257,1.2006261348724365,0.5550458431243896,1.9745973348617554
14,0.737810492515564,0.0005000000237487257,1.1605066061019897,0.5711008906364441,1.77455735206604
15,0.7221711277961731,0.0005000000237487257,1.1475626230239868,0.5504587292671204,2.034916400909424
16,0.7460901737213135,0.0005000000237487257,1.0635175704956055,0.64449542760849,1.3027745485305786
17,0.7433302402496338,0.0005000000237487257,1.0322455167770386,0.6743119359016418,1.2545748949050903
18,0.7580496668815613,0.0005000000237487257,1.0084692239761353,0.6903669834136963,1.1704612970352173
19,0.7690892219543457,0.0005000000237487257,0.9530164003372192,0.7201834917068481,1.0337787866592407
